epoch,total_loss,reward_loss,kl_loss,mean_reward,valid_sequences
0,2.9802322387695312e-08,2.9802322387695312e-08,0.0,-3.8578125,16
1,146273.6875,146274.609375,-0.9242132306098938,-4.091375,16
2,0.2025521844625473,0.22102060914039612,-0.018468428403139114,-3.5192500000000004,16
3,7000.84912109375,7001.2705078125,-0.4211691915988922,-3.2583125,16
4,435.23590087890625,435.8756103515625,-0.6397039294242859,-4.3506875,16
5,-8.940696716308594e-08,-8.940696716308594e-08,0.0,-3.511125,16
6,0.08732907474040985,0.11768287420272827,-0.03035379759967327,-3.986875,16
7,2.1446425914764404,2.188999652862549,-0.044357046484947205,-3.9985333333333335,15
8,14.869438171386719,14.977399826049805,-0.1079617291688919,-4.262249999999999,16
9,0.15992632508277893,0.40442317724227905,-0.24449685215950012,-3.5340000000000003,15
10,2.384185791015625e-07,2.384185791015625e-07,0.0,-4.193125,16
11,-0.026395780965685844,-0.018227260559797287,-0.008168520405888557,-5.044,15
12,0.42033740878105164,0.460547536611557,-0.04021012783050537,-4.8735,16
13,0.8616003394126892,0.9172333478927612,-0.05563301965594292,-4.4615,16
14,1.4648631811141968,1.5174520015716553,-0.052588868886232376,-4.367750000000001,16
15,-2.9802322387695312e-08,-2.9802322387695312e-08,0.0,-3.8515,16
16,0.021935516968369484,0.029677122831344604,-0.007741606328636408,-3.0979375000000005,16
17,-0.1688697189092636,-0.1592462807893753,-0.009623439982533455,-3.687857142857143,14
18,0.001588156446814537,0.020644783973693848,-0.01905662752687931,-3.3423125,16
19,-0.2622119188308716,-0.24100196361541748,-0.021209953352808952,-3.4596249999999986,16
0,1.1920928955078125e-07,1.1920928955078125e-07,0.0,-4.2840625,16
1,10.854371070861816,11.045636177062988,-0.19126544892787933,-2.6914374999999997,16
2,11.226676940917969,11.381082534790039,-0.15440523624420166,-3.3661250000000003,16
3,-0.05538727715611458,-0.05186223238706589,-0.00352504407055676,-3.1391875,16
4,1142.0179443359375,1142.3994140625,-0.3814915120601654,-3.2741250000000006,16
5,-1.9371509552001953e-07,-1.9371509552001953e-07,0.0,-2.99625,16
6,-0.01265779696404934,0.003240664955228567,-0.015898462384939194,-2.3440000000000003,15
7,1.8741755485534668,1.9393960237503052,-0.06522050499916077,-2.9332,15
8,35.61026382446289,35.744895935058594,-0.134630486369133,-3.027533333333333,15
9,13.072600364685059,13.220630645751953,-0.14802990853786469,-2.7826,15
0,-4.257474728319721e-08,-4.257474728319721e-08,0.0,-3.3905,14
1,1.1258982419967651,1.2787175178527832,-0.15281929075717926,-2.9306428571428573,14
2,230.8603973388672,231.0828857421875,-0.2224922627210617,-4.490818181818182,11
3,0.39253848791122437,0.4463511109352112,-0.053812623023986816,-5.259166666666666,12
4,0.14095541834831238,0.20123174786567688,-0.0602763295173645,-2.1635,8
5,-1.4305115314527939e-07,-1.4305115314527939e-07,0.0,-3.5271,10
6,0.45871827006340027,0.4627531170845032,-0.004034836310893297,-3.8403000000000005,10
7,0.7994545102119446,0.8282017111778259,-0.028747206553816795,-5.562125,8
8,0.10451710224151611,0.09059695899486542,0.013920140452682972,-3.216,4
9,0.26688867807388306,0.32207977771759033,-0.05519108846783638,-3.4897499999999995,8
0,-1.1416569805078325e-06,-1.1416582310630474e-06,-5.868765242666996e-07,-2.376615384615385,13
1,0.8753199577331543,0.7171604037284851,0.01071879081428051,-3.2240666666666664,15
2,0.15437935292720795,0.039863914251327515,-0.43110138177871704,-3.682466666666667,15
3,0.2369980663061142,0.01357386726886034,0.7129057049751282,-5.1673846153846155,13
0,5.799295502821612e+34,5.799295502821612e+34,-53.14579391479492,-4.064000000000001,15
